food_id,food_name,category,meal_type,calories,protein_g,carbohydrate_g,fat_g,fiber_g,price_idr,sustainability_score,vegetarian,high_protein
31,Pepaya Potong Segar (150g),fruit,snack,60,0.9,15.0,0.2,2.7,3000,95,true,false
32,Apel Malang Segar (1 buah),fruit,snack,80,0.4,21.0,0.3,3.6,5000,92,true,false
33,Jeruk Manis Pontianak (1 buah),fruit,snack,62,1.2,15.4,0.2,3.1,3500,94,true,false
34,Kacang Almond Panggang (30g),snack,snack,175,6.5,6.0,15.0,3.5,8500,82,true,true
35,Kacang Tanah Sangrai (30g),snack,snack,165,7.0,5.0,14.0,2.5,3500,88,true,true
36,Edamame Rebus Gurih (100g),snack,snack,120,11.0,9.0,5.0,5.0,5000,94,true,true
37,Susu UHT Low Fat (200ml),drink,breakfast,110,7.0,11.0,3.0,0.0,6000,70,true,false
38,Susu Kedelai Murni (250ml),drink,snack,90,7.5,6.0,4.0,1.5,4500,93,true,false
39,Yogurt Greek Plain (120g),snack,breakfast,100,12.0,4.5,3.0,0.0,9500,72,true,true
40,Telur Puyuh Rebus (5 butir),protein,snack,70,6.0,0.5,5.0,0.0,5000,68,false,false
41,Jus Alpukat Tanpa Gula (250ml),drink,snack,160,2.0,12.0,13.0,5.5,9000,85,true,false
42,Bubur Ayam Sehat Tanpa Santan,staple,breakfast,210,12.0,32.0,3.5,1.5,10000,74,false,false
43,Soto Ayam Bening Kudus (1 mangkok),protein,lunch,150,16.0,6.0,7.0,1.5,11000,72,false,true
44,Daging Sapi Panggang Lada Hitam (80g),protein,lunch,210,22.0,3.0,12.0,0.3,22000,45,false,true
45,Tumis Tauge Tahu Kuning,vegetable,dinner,85,6.0,7.0,4.0,2.5,4000,94,true,false
46,Semangka Merah Segar (200g),fruit,snack,60,1.2,15.0,0.3,1.0,3500,95,true,false
47,Roti Bakar Selai Kacang Alami,staple,breakfast,230,8.0,26.0,11.0,3.8,7500,84,true,false
48,Omelet Bayam Keju Rendah Lemak,protein,breakfast,170,14.0,2.5,11.5,1.2,9000,71,true,true
49,Rawon Daging Sapi Kuah Tipis,protein,dinner,220,19.0,5.0,13.0,1.0,20000,48,false,true
50,Tumis Buncis Jagung Pipil,vegetable,dinner,75,2.5,12.0,2.0,3.2,4500,91,true,false
